24/01/19;"Harkirat Singh Sahota";
31/01/19;"Harkirat Singh Sahota";
07/02/19;"Vikramaditya Mondal";"Quantum Fields in Rindler Spacetime"
14/02/19;"Vikramaditya Mondal";"Quantum Fields in Rindler Spacetime Cont."
21/02/19;"Ankit Dhanuka";"Functional methods in quantum field theory "
28/02/19;"Ankit Dhanuka";"Functional methods in quantum field theory Cont."
07/03/19;"Dipayan Mukherjee";"Dark energy as geometric fluid in f(R) Gravity"
14/03/19;"Himanshu Swami";"Newtrino Oscillations"
28/03/19;"Kartik Joshi";"Neutrino oscillations using deformed canonical variables"
04/04/19;"Kartik Joshi";"Neutrino oscillations using deformed canonical variables"
11/04/19;"Harkirat Singh Sahota";"Classical CGHS Model"
