"19 August 2020 (test)","31 August 2020","1 September 2020","7 September 2020","8 September 2020","14 September 2020","15 September 2020","22 September 2020"
"2008.06195|d|
 comment text ""Sample"" comment text","2008.12202|h,j","2008.12785|k","2009.01932|h","2009.02938|hm","2009.05187|d,h","2009.05640|d","2009.09838|hm"
"2008.06444|k,a|
 comment text ""Sample"" comment text 2","2008.12244|hm","2008.12743|h","2009.01788|h","2009.00797|hm","2009.05459|d","2009.04500|k","2009.08498|j"
"","2008.11184|e,j","2008.12430|k","2009.01700|d,e","2009.00737|hm","2009.05201|j","2009.04512|d","2009.08082|hm"
"","2008.12206|a","2008.12399|a","2009.01484|j,k","2009.00632|k","2009.05179|j|ref 19, 20","2009.03720|hm","2009.06637|hm"
"","2008.12109|k","2008.12352|j","2009.00949|h","2008.09116|d","2009.04460|d","2009.03402|hm","2009.07195|a"
"","2008.11648|e","2008.11934|e","2009.00309|h","2009.00486|k","2009.04731|j,h|PBH","2009.03399|hm","2009.07874|a,k"
"","2008.11033|h","2008.11859|h,j","2009.00512|d","2009.00240|d","2009.04504|j","","2009.06580|k"
"","2008.10701|a","2008.11818|hm","2009.00006|d","2009.01408|k","2009.03970|j","",""
"","2008.09664|h","2008.11727|k,j","2008.13753|a","2009.01543|d","2009.03866|h","",""
"","2008.09683|h,j","2008.11390|hm","2008.13469|k,h","1205.2042|d","2009.03453|a","",""
"","2008.10381|hm|
Reproduce results, present in group","2008.10639|hm","2008.13185|j","","2009.03427|h","",""
"","","2008.10995|a","2008.12814|hm","","","",""
"","","2008.10756|e","2008.12931|h,d","","","",""
"","","2008.13753|d|Important","2008.13364|k","","","",""
"","","2008.12743|h|reproduce two sections","2008.12923|hm","","","",""
"","","2008.10739|e","2008.12785|k","","","",""
"","","","2009.01255|d,h","","","",""
"","","","2009.02050|d,h","","","",""
"","","","2008.13069|k,e","","","",""
